CASE_NUMBER,DECISION_DATE,VISA_CLASS,CASE_RECEIVED_DATE,CASE_STATUS,CERTIFICATION_BEGIN_DATE,CERTIFICATION_END_DATE,PRIMARY/SUB,EMPLOYER_NAME,EMPLOYER_ADDRESS1,EMPLOYER_ADDRESS2,EMPLOYER_CITY,EMPLOYER_STATE,EMPLOYER_POSTAL_CODE,EMPLOYER_COUNTRY,EMPLOYER_PROVINCE,EMPLOYER_PHONE,EMPLOYER_PHONE_EXT,LAWFIRM_NAME,AGENT_ATTORNEY_NAME,AGENT_ATTORNEY_CITY,AGENT_ATTORNEY_STATE,JOB_TITLE,SOC_CODE,SOC_TITLE,PRIMARY_CROP,NAIC_CODE,NBR_WORKERS_REQUESTED,NBR_WORKERS_CERTIFIED,FULL_TIME_POSITION,NATURE_OF_TEMPORARY_NEED,BASIC_NUMBER_OF_HOURS,HOURLY_WORK_SCHEDULE_AM,HOURLY_WORK_SCHEDULE_PM,BASIC_RATE_OF_PAY,BASIC_UNIT_OF_PAY,OVERTIME_RATE_FROM,OVERTIME_RATE_TO,SUPERVISE_OTHER_EMP,SUPERVISE_HOW_MANY,EDUCATION_LEVEL,OTHER_EDU,MAJOR,SECOND_DIPLOMA,SECOND_DIPLOMA_MAJOR,TRAINING_REQ,NUM_MONTHS_TRAINING,NAME_REQD_TRAINING,EMP_EXPERIENCE_REQD,EMP_EXP_NUM_MONTHS,WORKSITE_CITY,WORKSITE_STATE,WORKSITE_POSTAL_CODE,OTHER_WORKSITE_LOCATION,ORGANIZATION_FLAG,SWA_NAME,JOB_IDNUMBER,JOB_START_DATE,JOB_END_DATE
H-300-16048-038036,2016-03-24,H-2A,2016-02-17,DETERMINATION ISSUED - CERTIFICATION,2016-04-25,2016-12-05,PRI,Pearson Farms LLC,5490 S Lamont Rd,,Springfield,TN,37172,UNITED STATES OF AMERICA,,615-654-1405,,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Tobacco,423930,4,4,Y,Seasonal,40,08:00 AM,04:00 PM,$10.85,Hour,,,N,,None,N/A,N/A,N,,N,,,N,,Springfield,TN,37172,Y,Association - Filing as Agent (H-2A Only),"TN Department of Labor & Workforce Development, Nashville, TN 37243",TN428588,2016-02-16,2016-08-15
H-300-16048-045136,2016-03-22,H-2A,2016-03-04,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2016-04-18,2016-07-02,PRI,"FRESH HARVEST, INC.",101 E. MAIN STREET,,HEBER,CA,92249,UNITED STATES OF AMERICA,,760-352-5212,,"MALITZLAW, INC.",JEANNE MALITZ,SAN DIEGO,CA,"Strawberry,Raspberry&Blackberry Machine &Gr",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Strawberries,,119,119,Y,Seasonal,35,06:00 AM,01:30 PM,$11.89,Hour,,,N,,None,N/A,N/A,N,,N,,,N,,Santa Paula,CA,93060,Y,H-2A Labor Contractor or Job Contractor,California EDD,14718939,2016-02-25,2016-05-25
H-300-16048-085127,2016-03-18,H-2A,2016-02-17,DETERMINATION ISSUED - CERTIFICATION,2016-04-15,2016-11-10,PRI,Knob Hall Vineyard,14108 St. Paul Road,,Clear Spring,MD,21722,UNITED STATES OF AMERICA,,301-842-2777,,,,,,"Farmworkers and Laborers, Crop",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Grapes,4239,3,3,Y,Seasonal,39,08:00 AM,04:00 PM,$11.66,Hour,,,N,,None,,,N,,N,,,Y,3,Clear Spring,MD,21722,N,Individual Employer,Washington County One Stop Job Center,467109,2016-01-27,2016-04-12
H-300-16048-090176,2016-03-28,H-2A,2016-02-17,DETERMINATION ISSUED - CERTIFICATION,2016-04-15,2016-12-01,PRI,GORDON FARMS,7320 Oscar Rd,,La Center,KY,42056,UNITED STATES OF AMERICA,,270-224-2373,,CRISPIN'S FARM SERVICE,ANTONIO CRISPIN,BEREA,KY,Farmworker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Hay and Straw,,2,2,Y,Seasonal,36,08:00 AM,03:00 PM,$10.85,Hour,,,N,,None,,,N,,N,,,Y,3,La Center,KY,42056,Y,Individual Employer,Department for Employment Services H-2A,569064425,2016-02-16,2016-08-08
H-300-16048-092381,2016-03-22,H-2A,2016-02-17,DETERMINATION ISSUED - CERTIFICATION,2016-04-02,2016-11-21,PRI,"Heart Seventeen Produce, Inc.",915 Crittenden Rd.,"mailing: P.O. Box 29, Hardyville, VA  23070",Hardyville,VA,23070,UNITED STATES OF AMERICA,,804-694-9743,,"MAS LABOR H-2A, LLC",Elizabeth Whitley,LOVINGSTON,VA,Agricultural Equipment Operator,45-2091,Agricultural Equipment Operators,Vegetables,,1,1,Y,Seasonal,40,06:00 AM,02:00 PM,$10.72,Month,,,N,,None,,,N,,N,,,Y,3,Hardyville,VA,23070,N,Individual Employer,Virginia Employment Commision,735461,2016-02-04,2016-07-27
H-300-16048-102358,2016-04-04,H-2A,2016-02-19,DETERMINATION ISSUED - CERTIFICATION,2016-05-01,2016-10-31,PRI,SVF Inc,5540 N Jelinek Rd,,Northport,MI,49670,UNITED STATES OF AMERICA,,231-271-3261,,GREAT LAKES AG LABOR SERVICES LLC,KATIE RASCH,LANSING,MI,"Farmworker, Crop-Hand Harvester",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Cherries,,4,4,Y,Seasonal,40,07:00 AM,03:00 PM,$12.02,Hour,,,N,,None,,,N,,N,,,Y,2,Northport,MI,49670,Y,Individual Employer,Michigan Works!,6579180,2016-02-17,2016-07-30
H-300-16048-108535,2016-04-27,H-2A,2016-03-28,DETERMINATION ISSUED - CERTIFICATION,2016-06-06,2016-11-15,PRI,"RULFS ORCHARD, LLC",531 BEAR SWAMP ROAD,,PERU,NY,12972,UNITED STATES OF AMERICA,,518-643-8636,,WHITEMAN OSTERMAN & HANNA LLP,LEONARD D'ARRIGO,ALBANY,NY,Farmworker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Vegetables,,5,5,Y,Seasonal,40,07:00 AM,04:00 PM,$11.74,Hour,,,N,,None,,,N,,N,,,Y,3,Peru,NY,12972,N,Individual Employer,New York State DOL,NY1164433,2016-03-25,2016-08-26
H-300-16048-113924,2016-03-23,H-2A,2016-02-17,DETERMINATION ISSUED - CERTIFICATION,2016-04-15,2016-12-31,PRI,Cuate Trucking LLC,P O Box 217,10853 Tennyson Rd,Miles,TX,76861,UNITED STATES OF AMERICA,,325-895-0757,,AGRI PLACEMENTS INTERNATIONAL,ELAINE FLAMING,FAIRVIEW,OK,Custom Combiner grain,45-2091,Agricultural Equipment Operators,Custom Combine,,8,8,Y,Seasonal,48,08:00 AM,06:00 PM,$11.15,Hour,,,N,,None,na,na,N,,N,,,Y,3,Miles,TX,76861,Y,H-2A Labor Contractor or Job Contractor,Texas Workforce Commission,TX2894908,2016-02-12,2016-08-23
H-300-16048-115684,2016-03-22,H-2A,2016-02-17,DETERMINATION ISSUED - CERTIFICATION,2016-04-10,2016-12-10,PRI,Hughes Harvesting,465 SE 60 Ave,,Ellinwood,KS,67526,UNITED STATES OF AMERICA,,620-617-7770,,SOUTHERN IMPACT,LESLI DOWNS,Tulsa,OK,Farmworker,45-2091,Agricultural Equipment Operators,Wheat,,6,6,Y,Seasonal,45,08:00 AM,05:00 PM,$11.15,Hour,,,N,,None,,,N,,N,,,Y,3,Ellinwood,KS,67526,Y,H-2A Labor Contractor or Job Contractor,KS Dept of Commerce,9917484,2016-02-17,2016-08-11
H-300-16048-116298,2016-03-22,H-2A,2016-02-17,DETERMINATION ISSUED - DENIED,2016-04-15,2016-12-15,PRI,ALLEN H.SWEAT,2682 EAST 2400 SOUTH,,HEBER,UT,84032,UNITED STATES OF AMERICA,,435-671-3906,,,,,,Cow Herder,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",Livestock,,1,0,N,Seasonal,40,08:00 AM,04:00 PM,"$1,207.00",Month,,,N,,None,,,N,,N,,,Y,24,Heber,UT,84032,Y,H-2A Labor Contractor or Job Contractor,Utah Department of Workforce Services,,2016-04-15,2016-12-15
H-300-16048-120197,2016-03-10,H-2A,2016-02-17,DETERMINATION ISSUED - CERTIFICATION,2016-04-12,2016-12-31,PRI,"Payne Farms and Cattle Company, Inc.",8890 N. 2445 Rd.,,Thomas,OK,73669,UNITED STATES OF AMERICA,,580-614-1750,,USA FARM LABOR,MANUEL FICK,WAYNESVILLE,NC,Ag. Equipment Operator,45-2091,Agricultural Equipment Operators,Agricultural Equipment Operator,423930,2,2,Y,Seasonal,48,08:00 AM,05:00 PM,$11.15,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,3,Thomas,OK,73669,N,Individual Employer,Oklahoma Employment Security Commission,OK1074486,2016-02-17,2016-08-21
H-300-16048-123658,2016-03-14,H-2A,2016-02-17,DETERMINATION ISSUED - CERTIFICATION,2016-04-14,2016-12-10,PRI,North Carolina Growers Association,"NCGA, Inc 230 Cameron Ave. Vass, NC 28394",See Addendum For NCGA Members Names and Addresses,Vass,NC,28394,UNITED STATES OF AMERICA,,910-245-2969,,,,,,Farmworker; Diversified Crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Sweet Potatoes,,2,2,Y,Seasonal,40,07:00 AM,03:00 PM,$10.72,Hour,,,N,,None,,,N,,N,,,Y,1,Vass,NC,28394,Y,Association - Joint Employer (H-2A Only),NC Dept of Commerce- Division,NC 10475164,2016-02-12,2016-08-12
H-300-16048-123658,2016-03-14,H-2A,2016-02-17,DETERMINATION ISSUED - CERTIFICATION,2016-04-14,2016-12-10,SUB,FISHER FARMS PARTNERSHIP,11735 WATSON SEED FARM RD,,WHITAKERS,NC,27891,UNITED STATES OF AMERICA,,910-245-2969,,,,,,Farmworker; Diversified Crop,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Sweet Potatoes,,2,2,Y,Seasonal,40,07:00 AM,03:00 PM,$10.72,Hour,,,N,,None,,,N,,N,,,Y,1,Vass,NC,28394,Y,,NC Dept of Commerce- Division,NC 10475164,2016-02-12,2016-08-12
H-300-16048-132967,2016-04-06,H-2A,2016-02-17,DETERMINATION ISSUED - CERTIFICATION,2016-04-03,2016-12-15,PRI,"Tri-County Electrical Contractors, LLC",27469 Florida Road,,Center,MO,63536,UNITED STATES OF AMERICA,,573-565-3469,,THE BERNARD FIRM P.L.C.,Aaron Bernard,Ames,IA,Farm Worker/Laborer,47-2061,Construction Laborers,Construction of Livestock Buildings,,4,4,Y,Seasonal,40,07:30 AM,04:30 PM,$12.07,Hour,,,N,,None,,,N,,N,,,Y,1,Bader,IL,62624,N,H-2A Labor Contractor or Job Contractor,Illinois Department of Employment Security,3581227,2016-02-05,2016-08-10
H-300-16048-142647,2016-03-25,H-2A,2016-02-26,DETERMINATION ISSUED - CERTIFICATION,2016-05-01,2016-11-30,PRI,Rosebud Land & Cattle,1291 Rosebud Rd.,,Amistad,NM,88410,UNITED STATES OF AMERICA,,575-633-2284,,"HEAD HONCHOS, LLC",TODD MILLER,SAN ANTONIO,TX,Agricultural Equipment Operator,45-2091,Agricultural Equipment Operators,Agricultural Equipment Operator,423940,2,2,Y,Seasonal,40,07:00 AM,04:00 PM,$11.20,Hour,,,N,,None,,,N,,N,,,Y,1,Amistad,NM,88410,N,Individual Employer,State of New Mexico Dept of Workforce Solutions,362909,2016-02-17,2016-08-15
H-300-16048-174034,2016-04-05,H-2A,2016-02-17,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2016-04-10,2016-09-01,PRI,VP,P.O. Box 914,95 Calusa Rd.,Dexter,NM,88230,UNITED STATES OF AMERICA,,575-626-0856,,AGRI PLACEMENTS INTERNATIONAL,ELAINE FLAMING,FAIRVIEW,OK,Custom Combiner Grain,45-2091,Agricultural Equipment Operators,Custom Combine,,4,4,Y,Seasonal,48,08:00 AM,06:00 PM,$11.20,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,6,Dexter,NM,88230,N,H-2A Labor Contractor or Job Contractor,New Mexico Department of Workforce Solutions,362762,2016-02-16,2016-06-21
H-300-16048-182825,2016-03-10,H-2A,2016-02-17,DETERMINATION ISSUED - CERTIFICATION,2016-05-01,2016-12-15,PRI,Ernie Ferguson,400 Ferguson Road,,Puryear,TN,38251,UNITED STATES OF AMERICA,,731-498-8669,,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Tobacco,423930,3,3,Y,Seasonal,40,07:00 AM,03:00 PM,$10.85,Hour,,,N,,None,N/A,N/A,N,,N,,,N,,PURYEAR,TN,38251,Y,Association - Filing as Agent (H-2A Only),TN Department of Labor and Workforce Development,TN428497,2016-02-16,2016-08-23
H-300-16048-202044,2016-03-30,H-2A,2016-02-17,DETERMINATION ISSUED - CERTIFICATION,2016-05-01,2017-01-15,PRI,LYONS FAMILY FARM LLC,705 Duvall Station Road,,Georgetown,KY,40324,UNITED STATES OF AMERICA,,502-535-6007,,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Tobacco,423930,3,3,Y,Seasonal,40,08:00 AM,04:00 PM,$10.85,Hour,,,N,,None,N/A,N/A,N,,N,,,N,,Georgetown,KY,40324,Y,Association - Filing as Agent (H-2A Only),"DEPARTMENT OF EMPLOYMENT SERVICES 275 EAST MAIN STREET, 2W-A FRANKFORT, KY",569200165,2016-02-17,2016-09-07
H-300-16048-213921,2016-03-11,H-2A,2016-02-17,DETERMINATION ISSUED - CERTIFICATION,2016-05-01,2016-12-01,PRI,Russ Orr,226 Kuykendall Rd,,Puryear,TN,38251,UNITED STATES OF AMERICA,,731-247-3162,,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Tobacco,423930,2,2,Y,Seasonal,40,08:00 AM,04:00 PM,$10.85,Hour,,,N,,None,N/A,N/A,N,,N,,,N,,Puryear,TN,38251,Y,Association - Filing as Agent (H-2A Only),TN Department of Labor & Workforce Development,TN428572,2016-02-16,2016-08-16
H-300-16048-214581,2016-03-30,H-2A,2016-02-17,DETERMINATION ISSUED - CERTIFICATION,2016-04-30,2016-11-30,PRI,RWC-TLC LLC,1794 KY Hwy 514,,Princeton,KY,42445,UNITED STATES OF AMERICA,,270-963-8122,,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Tobacco,423930,4,4,Y,Seasonal,40,08:00 AM,04:00 PM,$10.85,Hour,,,N,,None,N/A,N/A,N,,N,,,N,,PRINCETON,KY,42445,Y,Association - Filing as Agent (H-2A Only),"DEPARTMENT OF EMPLOYMENT SERVICES 275 EAST MAIN STREET, 2W-A FRANKFORT, KY",569010655,2016-02-16,2016-08-15
H-300-16048-234569,2016-03-16,H-2A,2016-02-17,DETERMINATION ISSUED - CERTIFICATION,2016-05-01,2016-12-31,PRI,L & H FARMS LLC,1945 Adams Mill Road,,Cadiz,KY,42211,UNITED STATES OF AMERICA,,270-522-9211,,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Burley,423930,8,8,Y,Seasonal,40,08:00 AM,04:00 PM,$10.85,Hour,,,N,,None,N/A,N/A,N,,N,,,N,,Cadiz,KY,42211,Y,Association - Filing as Agent (H-2A Only),"DEPARTMENT OF EMPLOYMENT SERVICES 275 EAST MAIN STREET, 2W-A FRANKFORT, KY",569202695,2016-02-17,2016-08-31
H-300-16048-259184,2016-03-03,H-2A,2016-02-17,DETERMINATION ISSUED - CERTIFICATION,2016-04-03,2016-11-01,PRI,Blais Produce LLC,600 Old Connecticut River Road,,Springfield,VT,05156,UNITED STATES OF AMERICA,,802-885-8787,,"LAKE HOME BUSINESS SERVICES, INC.",ALYSON EASTMAN,ORWELL,VT,"Farmworkers and Laborers, Crop",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Grapes,423860,4,4,Y,Seasonal,42,07:00 AM,04:00 PM,$11.74,Hour,,,N,,None,,,N,,N,,,Y,1,Springfield,VT,05156,N,Individual Employer,Vermont Department of Labor,374796,2016-02-03,2016-07-17
H-300-16048-268907,2016-03-23,H-2A,2016-02-17,DETERMINATION ISSUED - CERTIFICATION,2016-05-01,2016-12-31,PRI,Chad Hobgood,2305 Watkins School Rd,,Robards,KY,42452,UNITED STATES OF AMERICA,,270-993-5880,,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS and LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Tobacco,423930,2,2,Y,Seasonal,40,08:00 AM,04:00 PM,$10.85,Hour,,,N,,None,N/A,N/A,N,,N,,,N,,Robards,KY,42452,Y,Association - Filing as Agent (H-2A Only),"DEPARTMENT OF EMPLOYMENT SERVICES 275 EAST MAIN STREET, 2W-A FRANKFORT, KY",569217695,2016-02-17,2016-08-31
H-300-16048-269061,2016-03-23,H-2A,2016-02-18,DETERMINATION ISSUED - CERTIFICATION,2016-04-20,2016-10-22,PRI,Russell Costanza Farms,3114 Dutch Lane,,Sodus,MI,49126,UNITED STATES OF AMERICA,,269-925-0725,,GREAT LAKES AG LABOR SERVICES LLC,KATIE RASCH,LANSING,MI,"Farmworker, Crop-Hand Harvester",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Cucumbers,,25,25,Y,Seasonal,40,07:00 AM,03:00 PM,$12.02,Hour,,,N,,None,,,N,,N,,,Y,3,Sodus,MI,49126,Y,Individual Employer,Michigan Works!,6579427,2016-02-17,2016-07-20
H-300-16048-278590,2016-03-10,H-2A,2016-02-17,DETERMINATION ISSUED - CERTIFICATION,2016-05-01,2017-01-20,PRI,Robert Scott Richards,4711 Richards Rd,,CEDAR HILL,TN,37032,UNITED STATES OF AMERICA,,615-947-6555,,Agriculture Workforce Management Association,DONNA CARPENTER,LEXINGTON,KY,"FARM WORKERS and LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Tobacco,423930,4,4,Y,Seasonal,40,08:00 AM,04:00 PM,$10.85,Hour,,,N,,None,N/A,N/A,N,,N,,,N,,Cedar Hill,TN,37032,Y,Association - Filing as Agent (H-2A Only),TN Dept of Labor and Workforce Development,TN428488,2016-02-16,2016-09-10
H-300-16048-292444,2016-03-17,H-2A,2016-02-17,DETERMINATION ISSUED - CERTIFICATION,2016-04-01,2016-12-01,PRI,CBP Farms,314 Main St.,,Sharon,ND,58277,UNITED STATES OF AMERICA,,701-371-5658,,USA FARM LABOR,MANUEL FICK,WAYNESVILLE,NC,Agricultural Equipment Operator,45-2091,Agricultural Equipment Operators,Agricultural Equipment Operator,423930,2,2,Y,Seasonal,35,08:00 AM,05:00 PM,$13.80,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,3,Hatton,ND,58240,N,Individual Employer,Job Service North Dakota,439358,2016-02-16,2016-08-01
H-300-16048-304749,2016-03-31,H-2A,2016-02-17,DETERMINATION ISSUED - CERTIFICATION,2016-04-17,2016-11-30,PRI,"Troy Kuck Silage Harvesting, LLC",73388 Road 437,,Bertrand,NE,68927,UNITED STATES OF AMERICA,,308-991-2979,,SOUTHERN IMPACT,LESLI DOWNS,TULSA,OK,Farmworker,45-2091,Agricultural Equipment Operators,Agricultural Equipment Operator,,2,2,Y,Seasonal,48,08:00 AM,05:00 PM,$13.80,Hour,,,N,,None,,,N,,N,,,Y,3,Bertrand,NE,68927,Y,H-2A Labor Contractor or Job Contractor,NE DOL,335495,2016-02-17,2016-08-09
H-300-16048-314938,2016-03-10,H-2A,2016-02-17,DETERMINATION ISSUED - CERTIFICATION,2016-04-05,2016-11-01,PRI,Double Eagle Farms LLC,3173 North 4900 East,,Murtaugh,ID,83344,UNITED STATES OF AMERICA,,208-432-5212,,SNAKE RIVER FARMERS ASSOCIATION INC,Elizabeth (Betsy) Parkin,HEYBURN,ID,Farm/Irrigation/Livestock Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Livestock,423930,15,15,Y,Seasonal,48,07:00 AM,03:00 PM,$11.75,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,0,Murtaugh,ID,83344,N,Individual Employer,ID Dept of Commerce and Labor,657220,2016-02-09,2016-07-19
H-300-16048-399633,2016-03-28,H-2A,2016-02-19,DETERMINATION ISSUED - CERTIFICATION,2016-04-04,2016-11-15,PRI,Jentzsch Kearl Farms,20511 F Street,N/A,Rupert,ID,83350,UNITED STATES OF AMERICA,N/A,208-532-4119,,SNAKE RIVER FARMERS ASSOCIATION INC,Elizabeth (Betsy) Parkin,HEYBURN,ID,General Farm/Irrigation Worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Alfalfa,,12,12,Y,Seasonal,60,08:00 AM,06:00 PM,$11.75,Hour,,,N,,None,N/A,N/A,N,,N,,,Y,0,Paul,ID,83347,Y,Individual Employer,ID Dept. of Commerce & Labor,658881,2016-02-09,2016-07-25
H-300-16048-417627,2016-03-30,H-2A,2016-02-17,DETERMINATION ISSUED - CERTIFICATION,2016-05-01,2017-02-28,PRI,Carl Crowe,6592 Spencer Road,,Mt. Sterling,KY,40353,UNITED STATES OF AMERICA,,859-749-4990,,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS AND LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Tobacco,423930,3,3,Y,Seasonal,40,08:00 AM,04:00 PM,$10.85,Hour,,,N,,None,N/A,N/A,N,,N,,,N,,Mt. Sterling,KY,40353,Y,Association - Filing as Agent (H-2A Only),"DEPARTMENT OF EMPLOYMENT SERVICES 275 EAST MAIN STREET, 2W-A FRANKFORT, KY",569204905,2016-02-17,2016-09-29
H-300-16048-461256,2016-03-15,H-2A,2016-02-17,DETERMINATION ISSUED - CERTIFICATION,2016-04-03,2016-12-15,PRI,"Tri-County Electrical Contractors, LLC",27469 Florida Road,,Center,MO,63536,UNITED STATES OF AMERICA,,573-565-3469,,THE BERNARD FIRM P.L.C.,Aaron Bernard,Ames,IA,Farm Worker/Laborer,45-2099,"Agricultural Workers, All Other",Construction of Livestock Buildings,,8,8,Y,Seasonal,40,07:30 AM,04:30 PM,$13.80,Hour,,,N,,None,,,N,,N,,,Y,1,Atkinson,NE,68713,N,H-2A Labor Contractor or Job Contractor,State of Nebraska Department of Labor,333568,2016-02-03,2016-08-10
H-300-16048-461589,2016-03-24,H-2A,2016-02-17,DETERMINATION ISSUED - CERTIFICATION,2016-04-25,2016-11-25,PRI,BUTTERWORTH FARMS,1116 BUTTERWORTH RD,,MURRAY,KY,42071,UNITED STATES OF AMERICA,,270-435-4221,,"KY. FARMERS AID, INC",MELISSA GREEN,MURRAY,KY,FARM WORKER/ LABORER,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Setting,,3,3,Y,Seasonal,40,07:00 AM,04:00 PM,$10.85,Hour,,,N,,None,,,N,,N,,,Y,3,MURRAY,KY,42071,Y,Individual Employer,KY DEPT OF LABOR and WORKFORCE,568373485,2016-02-15,2016-08-10
H-300-16048-474603,2016-04-11,H-2A,2016-02-20,DETERMINATION ISSUED - CERTIFICATION,2016-04-11,2016-12-15,PRI,"Harward Farms Sweet Corn, Inc.",1988 West Center,Mailing: 1988 West Center,Springville,UT,84663,UNITED STATES OF AMERICA,,801-420-2574,,"MAS LABOR H-2A, LLC",Elizabeth Whitley,LOVINGSTON,VA,Farm worker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",General Farmworker,,25,25,Y,Seasonal,40,07:00 AM,03:00 PM,$11.27,Hour,,,N,,None,,,N,,N,,,Y,3,Springville,UT,84663,N,Individual Employer,Utah Department of Workforce Services,9969406,2016-02-12,2016-08-13
H-300-16048-494081,2016-03-16,H-2A,2016-02-18,DETERMINATION ISSUED - CERTIFICATION,2016-04-15,2016-11-15,PRI,Larry Peterson,2571 99th Street NW,,Antler,ND,58711,UNITED STATES OF AMERICA,,701-756-6257,,"USAFARMLABOR, INC",MANUEL FICK,WAYNESVILLE,NC,Ag. Equipment Operator,45-2091,Agricultural Equipment Operators,Agricultural Equipment Operator,423930,1,1,Y,Seasonal,48,08:00 AM,05:00 PM,$13.80,Hour,,,N,,None,,,N,,N,,,Y,3,Antler,ND,58711,N,Individual Employer,Job Service North Dakota,439479,2016-02-17,2016-07-31
H-300-16048-498295,2016-03-18,H-2A,2016-02-17,DETERMINATION ISSUED - CERTIFICATION,2016-04-25,2017-02-01,PRI,Edwin L. Dyer,4557 Hwy 1401,,Harned,KY,40144,UNITED STATES OF AMERICA,,270-756-2573,,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Tobacco,423930,4,4,Y,Seasonal,40,08:00 AM,04:00 PM,$10.85,Hour,,,N,,None,N/A,N/A,N,,N,,,N,,Harned,KY,40144,Y,Association - Filing as Agent (H-2A Only),"DEPARTMENT OF EMPLOYMENT SERVICES 275 EAST MAIN STREET, 2W-A FRANKFORT, KY",568936845,2016-02-16,2016-09-13
H-300-16048-510656,2016-04-11,H-2A,2016-02-26,DETERMINATION ISSUED - CERTIFICATION EXPIRED,2016-04-20,2016-07-31,PRI,Bass Farms,P.O. Box 526,,Anna,IL,62906,UNITED STATES OF AMERICA,,618-922-5252,,"HEAD HONCHOS, LLC",TODD MILLER,SAN ANTONIO,TX,Farmworker,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Grains,4239,6,6,Y,Seasonal,40,07:00 AM,04:00 PM,$12.07,Hour,,,N,,None,,,N,,N,,,N,,Cobden,IL,62920,N,Individual Employer,"Marrow IL, State Office",3584891,2016-02-11,2016-06-11
H-300-16048-522835,2016-04-18,H-2A,2016-02-17,DETERMINATION ISSUED - CERTIFICATION,2016-04-15,2016-12-01,PRI,TROY LAWRENCE,1290 DRY RIDGE MT ZION RD,,DRY RIDGE,KY,41035,UNITED STATES OF AMERICA,,859-824-7863,,"RAY WILCOXSON, INC","WALTER WILCOXSON, Jr",HORSE CAVE,KY,FARM WORKER CROP,45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Burley,,4,4,Y,Seasonal,40,07:00 AM,04:00 PM,$10.85,Hour,10.85,10.85,N,,None,,,N,,N,,,Y,3,DRY RIDGE,KY,41035,N,Individual Employer,KENTUCK STATE WORKFORCE AGENCY,567818625,2016-02-12,2016-08-08
H-300-16048-553849,2016-03-17,H-2A,2016-02-17,DETERMINATION ISSUED - CERTIFICATION,2016-05-01,2016-12-12,PRI,Michael Farmer,3642 Dunn Road,,Cedar Hill,TN,37032,UNITED STATES OF AMERICA,,615-389-4141,,Agriculture Workforce Management Association,Donna Carpenter,LEXINGTON,KY,"FARM WORKERS & LABORERS, CROP",45-2092,"Farmworkers and Laborers, Crop, Nursery, and",Tobacco,423930,5,5,Y,Seasonal,40,08:00 AM,04:00 PM,$10.85,Hour,,,N,,None,N/A,N/A,N,,N,,,N,,Cedar Hill,TN,37032,Y,Association - Filing as Agent (H-2A Only),"TN Dept. of Labor & Workforce Development, 220 French Landing Dr, 4B, Nashv",TN428551,2016-02-16,2016-08-21
